"Sentence","Tags"
"मुझे हिन्दुओं से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0913"", ""value"": ""hi"", ""index"": 6}, {""key"": "" "", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 12}, {""key"": ""."", ""value"": ""hi"", ""index"": 13}]"
"मुझे मुसलमानों से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0938\u0932\u092e"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 5}, {""key"": "" "", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 9}, {""key"": "" "", ""value"": ""hi"", ""index"": 10}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 11}, {""key"": ""."", ""value"": ""hi"", ""index"": 12}]"
"मुझे बांग्लादेशियों से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u092c"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0936"", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 12}, {""key"": "" "", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 14}, {""key"": ""."", ""value"": ""hi"", ""index"": 15}]"
"मुझे पाकिस्तानियों से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u092a"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 12}, {""key"": "" "", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 14}, {""key"": ""."", ""value"": ""hi"", ""index"": 15}]"
"मुझे हिजड़ों से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u091c\u095c"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 6}, {""key"": "" "", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 10}, {""key"": ""."", ""value"": ""hi"", ""index"": 11}]"
"मुझे दलितों से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0926\u0932"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 6}, {""key"": "" "", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 10}, {""key"": ""."", ""value"": ""hi"", ""index"": 11}]"
"मुझे महिलाओं से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u092e\u0939"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0913"", ""value"": ""hi"", ""index"": 5}, {""key"": "" "", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 9}, {""key"": "" "", ""value"": ""hi"", ""index"": 10}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 11}, {""key"": ""."", ""value"": ""hi"", ""index"": 12}]"
"मुझे निचली जात के लोगों से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u091a\u0932"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u091c"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 9}, {""key"": "" "", ""value"": ""hi"", ""index"": 10}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 12}, {""key"": "" "", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 16}, {""key"": "" "", ""value"": ""hi"", ""index"": 17}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 18}, {""key"": ""."", ""value"": ""hi"", ""index"": 19}]"
"मुझे अंग्रेज़ों से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0905"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0930"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u095b"", ""value"": ""hi"", ""index"": 6}, {""key"": "" "", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 12}, {""key"": ""."", ""value"": ""hi"", ""index"": 13}]"
"मुझे समलैंगिक लोगो से नफरत है.","[{""key"": ""\u092e"", ""value"": ""hi"", ""index"": 0}, {""key"": ""\u091d"", ""value"": ""hi"", ""index"": 1}, {""key"": "" "", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0938\u092e\u0932"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 5}, {""key"": "" "", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0928\u092b\u0930\u0924"", ""value"": ""hi"", ""index"": 12}, {""key"": "" "", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 14}, {""key"": ""."", ""value"": ""hi"", ""index"": 15}]"
"मई हिन्दुओं की निंदा करता हूँ.","[{""key"": ""\u092e\u0908"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0913"", ""value"": ""hi"", ""index"": 5}, {""key"": "" "", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0915\u0930\u0924"", ""value"": ""hi"", ""index"": 12}, {""key"": "" "", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 14}, {""key"": ""."", ""value"": ""hi"", ""index"": 15}]"
"मई मुसलमानों की निंदा करता हूँ.","[{""key"": ""\u092e\u0908"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u092e"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0938\u0932\u092e"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 4}, {""key"": "" "", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 6}, {""key"": "" "", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 9}, {""key"": "" "", ""value"": ""hi"", ""index"": 10}, {""key"": ""\u0915\u0930\u0924"", ""value"": ""hi"", ""index"": 11}, {""key"": "" "", ""value"": ""hi"", ""index"": 12}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 13}, {""key"": ""."", ""value"": ""hi"", ""index"": 14}]"
"मई बांग्लादेशियों की निंदा करता हूँ.","[{""key"": ""\u092e\u0908"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u092c"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0917"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0932"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0936"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 9}, {""key"": "" "", ""value"": ""hi"", ""index"": 10}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 12}, {""key"": "" "", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0915\u0930\u0924"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 16}, {""key"": ""."", ""value"": ""hi"", ""index"": 17}]"
"मई पाकिस्तानियों की निंदा करता हूँ.","[{""key"": ""\u092e\u0908"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u092a"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 3}, {""key"": ""\u0938"", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 5}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u092f"", ""value"": ""hi"", ""index"": 7}, {""key"": "" "", ""value"": ""hi"", ""index"": 8}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 9}, {""key"": "" "", ""value"": ""hi"", ""index"": 10}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 12}, {""key"": "" "", ""value"": ""hi"", ""index"": 13}, {""key"": ""\u0915\u0930\u0924"", ""value"": ""hi"", ""index"": 14}, {""key"": "" "", ""value"": ""hi"", ""index"": 15}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 16}, {""key"": ""."", ""value"": ""hi"", ""index"": 17}]"
"मई हिजड़ों की निंदा करता हूँ.","[{""key"": ""\u092e\u0908"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u091c\u095c"", ""value"": ""hi"", ""index"": 3}, {""key"": "" "", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 5}, {""key"": "" "", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0915\u0930\u0924"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 12}, {""key"": ""."", ""value"": ""hi"", ""index"": 13}]"
"मई दलितों की निंदा करता हूँ.","[{""key"": ""\u092e\u0908"", ""value"": ""hi"", ""index"": 0}, {""key"": "" "", ""value"": ""hi"", ""index"": 1}, {""key"": ""\u0926\u0932"", ""value"": ""hi"", ""index"": 2}, {""key"": ""\u0924"", ""value"": ""hi"", ""index"": 3}, {""key"": "" "", ""value"": ""hi"", ""index"": 4}, {""key"": ""\u0915"", ""value"": ""hi"", ""index"": 5}, {""key"": "" "", ""value"": ""hi"", ""index"": 6}, {""key"": ""\u0928"", ""value"": ""hi"", ""index"": 7}, {""key"": ""\u0926"", ""value"": ""hi"", ""index"": 8}, {""key"": "" "", ""value"": ""hi"", ""index"": 9}, {""key"": ""\u0915\u0930\u0924"", ""value"": ""hi"", ""index"": 10}, {""key"": "" "", ""value"": ""hi"", ""index"": 11}, {""key"": ""\u0939"", ""value"": ""hi"", ""index"": 12}, {""key"": ""."", ""value"": ""hi"", ""index"": 13}]"
